trialNo,trial,RT,press,answer
1,Go,0.471631,1,1
2,Go,0.494684,1,1
3,Go,0.625173,1,1
4,Go,0.576515,1,1
5,Go,0.378693,1,1
6,Go,0.394809,1,1
